日期	区县	诊断	来源口径	计数
2022-03-28	普陀	确诊	转诊	1
2022-03-28	普陀	无症状	闭环	53
2022-03-28	普陀	无症状	社会面	25
2022-03-28	虹口	确诊	闭环	0
2022-03-28	虹口	确诊	社会面	2
2022-03-28	虹口	确诊	转诊	2
2022-03-28	虹口	无症状	闭环	1
2022-03-28	虹口	无症状	社会面	3
2022-03-28	杨浦	确诊	闭环	0
2022-03-28	杨浦	确诊	社会面	0
2022-03-28	杨浦	确诊	转诊	0
2022-03-28	杨浦	无症状	闭环	41
2022-03-28	杨浦	无症状	社会面	6
2022-03-28	宝山	确诊	闭环	1
2022-03-28	宝山	确诊	社会面	7
2022-03-28	宝山	确诊	转诊	0
2022-03-28	宝山	无症状	闭环	291
2022-03-28	宝山	无症状	社会面	12
2022-03-28	闵行	确诊	闭环	0
2022-03-28	闵行	确诊	社会面	2
2022-03-28	闵行	确诊	转诊	7
2022-03-28	闵行	无症状	闭环	335
2022-03-28	闵行	无症状	社会面	26
2022-03-28	嘉定	确诊	闭环	0
2022-03-28	嘉定	确诊	社会面	2
2022-03-28	嘉定	确诊	转诊	0
2022-03-28	嘉定	无症状	闭环	172
2022-03-28	嘉定	无症状	社会面	35
2022-03-28	金山	确诊	闭环	0
2022-03-28	金山	确诊	社会面	1
2022-03-28	金山	确诊	转诊	0
2022-03-28	金山	无症状	闭环	17
2022-03-28	金山	无症状	社会面	1
2022-03-28	松江	确诊	闭环	0
2022-03-28	松江	确诊	社会面	2
2022-03-28	松江	确诊	转诊	2
2022-03-28	松江	无症状	闭环	81
2022-03-28	松江	无症状	社会面	9
2022-03-28	青浦	确诊	闭环	0
2022-03-28	青浦	确诊	社会面	2
2022-03-28	青浦	确诊	转诊	0
2022-03-28	青浦	无症状	闭环	51
2022-03-28	青浦	无症状	社会面	4
2022-03-28	奉贤	确诊	闭环	0
2022-03-28	奉贤	确诊	社会面	0
2022-03-28	奉贤	确诊	转诊	0
2022-03-28	奉贤	无症状	闭环	100
2022-03-28	奉贤	无症状	社会面	15
2022-03-28	崇明	确诊	闭环	0
2022-03-28	崇明	确诊	社会面	0
2022-03-28	崇明	确诊	转诊	0
2022-03-28	崇明	无症状	闭环	67
2022-03-28	崇明	无症状	社会面	0
2022-03-29	浦东	确诊	闭环	4
2022-03-29	浦东	确诊	社会面	162
2022-03-29	浦东	确诊	转诊	3
